run,rewards,policy
0,336.1702858857666,"{'1': [1, 0], '2': [0, 1], '3': [1, 0], '4': [0.5, 0.5], '5': [0, 1]}"
1,412.1943352648938,"{'1': [1, 0], '2': [0, 1], '3': [1, 0], '4': [0, 1], '5': [0.5, 0.5]}"
2,366.0866964150423,"{'1': [1, 0], '2': [0, 1], '3': [0, 1], '4': [1, 0], '5': [0, 1]}"
3,381.4471185218057,"{'1': [1, 0], '2': [1, 0], '3': [0, 1], '4': [1, 0], '5': [0, 1]}"
4,403.77176312958613,"{'1': [1, 0], '2': [0, 1], '3': [0, 1], '4': [1, 0], '5': [0, 1]}"
5,401.4076245205277,"{'1': [0, 1], '2': [1, 0], '3': [0, 1], '4': [0, 1], '5': [1, 0]}"
6,423.72063786266835,"{'1': [1, 0], '2': [0, 1], '3': [1, 0], '4': [0, 1], '5': [0.5, 0.5]}"
7,400.4320803958189,"{'1': [0, 1], '2': [1, 0], '3': [1, 0], '4': [0, 1], '5': [1, 0]}"
8,390.9078720271782,"{'1': [0, 1], '2': [1, 0], '3': [1, 0], '4': [0, 1], '5': [1, 0]}"
9,398.7836971868321,"{'1': [0, 1], '2': [1, 0], '3': [1, 0], '4': [0, 1], '5': [1, 0]}"
