run,rewards,policy
0,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
1,195.8717804,"{'1': [0.31029011163403075, 0.46492261446182714], '2': [0.7152259430198167, 0.2420072514323971], '3': [0.5840989446458512, 0.894990296204843], '4': [0.8967519783481008, 0.17391182654039805], '5': [0.4202669129027303, 0.9817125727278565]}"
2,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
3,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
4,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
5,203.4213288,"{'1': [0.938384612817711, 0.04296386938245267], '2': [0.07058286760729793, 0.841669278950074], '3': [0.5369036631974214, 0.21984396059916778], '4': [0.28621080522983045, 0.1680225032788759], '5': [0.6389750647535981, 0.07902975512568033]}"
6,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
7,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
8,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
9,240.2773176,"{'1': [0.019722349472466427, 0.9898173405063865], '2': [0.9959416532213373, 0.7434711029214354], '3': [0.6602752485446771, 0.4325967392950796], '4': [0.20109843783411063, 0.1295124460855368], '5': [0.5722935332691804, 0.9661498218168473]}"
